postcode,original_journey_time,new_journey_time,change_in_journey_time,lng,lat
E13 0WD,35,35,0,0.023300114615,51.5292778567
E13 0XB,35,35,0,0.023300114615,51.5292778567
E14 3HY,43,43,0,-0.0060941648336,51.4917152409
E14 3QR,39,39,0,-0.0191103666036,51.4902002587
E14 3RA,41,41,0,-0.0206739204345,51.49001983
E14 3SN,44,44,0,-0.0253898302856,51.4945597037
E14 4BB,28,28,0,-0.0135849827955,51.5046389556
E14 5EN,34,34,0,-0.0194112478939,51.5025342955
E14 6GS,36,36,0,-0.021383273943,51.5135566081
E14 6HJ,31,31,0,-0.0228273302222,51.5121601231
E14 6HT,33,33,0,-0.0230130166322,51.5135301355
E14 6JA,35,35,0,-0.0237856944947,51.5146582455
E14 7AD,38,38,0,-0.0258698997007,51.5167886304
E14 7BB,37,37,0,-0.0245074585351,51.5166308005
E14 7GY,30,30,0,-0.0352043727435,51.5162439497
E14 7TH,31,31,0,-0.0326228748586,51.5149417072
E14 8PT,39,39,0,-0.0215434071328,51.4965541925
E14 9GQ,31,31,0,-0.0159019618567,51.4993994815
E14 9HT,39,39,0,-0.0211282313515,51.4974914175
E14 9SL,31,31,0,-0.0198113896961,51.5002838938
E15 3LZ,34,34,0,0.00510353714522,51.53284567
E15 4JE,38,38,0,0.0100979494905,51.5440999237
E16 1HX,38,38,0,0.0126673793478,51.5127703739
E16 1QJ,53,53,0,0.0241251698464,51.5166738553
E16 2JG,46,46,0,0.0623868591755,51.4999461994
E16 2NB,47,47,0,0.066718155718,51.500778213
E16 2ND,47,47,0,0.067237910647,51.5011197697
E16 2RJ,54,54,0,0.070621636198,51.5010690629
E16 3AB,45,45,0,0.0205659083376,51.5101795513
E16 3QB,48,48,0,0.0209175446109,51.5116123249
E17 3ER,60,60,0,-0.00928676755869,51.5879995759
E17 3NW,52,52,0,0.00387164313578,51.5832433655
E17 4BJ,55,55,0,0.000559609713076,51.5939380888
E17 5HD,62,62,0,-0.0238840191943,51.5922659509
E17 5RX,57,57,0,-0.0348061917602,51.5937622609
E17 6AF,61,61,0,-0.0367096754503,51.5961591512
E17 6HU,51,51,0,-0.0354968659816,51.5894664054
E17 6QG,54,54,0,-0.0213093190086,51.5880590217
E17 9AU,47,47,0,-0.013135547919,51.5768780521
E17 9EW,49,49,0,-0.00627215571481,51.5853045846
E17 9RP,54,54,0,-0.0105221570798,51.5845044342
E18 1BD,37,37,0,0.0252270833949,51.5941085097
E18 1ET,47,47,0,0.0374246580812,51.5972786038
E18 1LE,39,39,0,0.0324852534639,51.5911053973
E2  7EP,29,29,0,-0.0699371741112,51.5258581934
E2  7LX,34,34,0,-0.0745497991729,51.5275796405
E2  8NU,43,43,0,-0.070487693138,51.5336368274
E20 1BN,36,36,0,-0.0063357126256,51.5462508263
E3  4PR,21,21,0,-0.0321618867542,51.52530247
E3  5LZ,35,35,0,-0.0345838682729,51.5323303365
E4  6LG,69,69,0,0.00500052029927,51.6196979075
E4  7EZ,56,56,0,-0.000268621042757,51.6306237784
E4  8SN,67,67,0,-0.0180904344687,51.6079501498
E4  9DP,68,68,0,-0.0148872356031,51.6121854523
E4  9EP,72,72,0,-0.0136663997662,51.6179829584
E4  9RR,53,53,0,0.00121981216612,51.6125683954
E5  0BG,55,55,0,-0.0415209488216,51.5561328215
E5  8AN,44,44,0,-0.0625525258044,51.560573615
E5  8NS,45,45,0,-0.0568595451763,51.5543465544
E5  9DS,46,46,0,-0.0608398875609,51.5665793103
E5  9RH,61,61,0,-0.0441762861852,51.5608172765
E6  1DZ,34,34,0,0.0377111293472,51.5349455784
E6  1QJ,44,44,0,0.0423715074912,51.5321127603
E6  2SG,54,54,0,0.0618219254666,51.5308372308
E6  5QN,61,61,0,0.0534567208522,51.5105884652
E7  0LB,37,37,0,0.0283894172852,51.5516536524
E8  2BJ,45,45,0,-0.0665462296488,51.5538321469
E8  3XG,44,44,0,-0.0728253520094,51.541103104
E9  5AU,40,40,0,-0.0411920111783,51.5449855328
E9  7BX,46,46,0,-0.037839033346,51.5411256353
